"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/1/2016, Pacific Time",689307,685367,531778,-157547
CAL,"1/2/2016, Pacific Time",690124,697955,528479,-161668
CAL,"1/3/2016, Pacific Time",674717,674200,517620,-157116
CAL,"1/4/2016, Pacific Time",732453,741757,562208,-170263
CAL,"1/5/2016, Pacific Time",757620,752358,569745,-187892
CAL,"1/6/2016, Pacific Time",767061,743723,578366,-188724
CAL,"1/7/2016, Pacific Time",751237,747997,557610,-193657
CAL,"1/8/2016, Pacific Time",749496,748954,570209,-179307
CAL,"1/9/2016, Pacific Time",697808,688479,511284,-186545
CAL,"1/10/2016, Pacific Time",666054,656022,481782,-184287
CAL,"1/11/2016, Pacific Time",730680,742896,550578,-180118
CAL,"1/12/2016, Pacific Time",737349,752612,558118,-179248
CAL,"1/13/2016, Pacific Time",740124,741449,562199,-177943
CAL,"1/14/2016, Pacific Time",744856,743457,561287,-183590
CAL,"1/15/2016, Pacific Time",727350,725183,555280,-172086
CAL,"1/16/2016, Pacific Time",661809,669666,499882,-161938
CAL,"1/17/2016, Pacific Time",643973,643202,487424,-156563
CAL,"1/18/2016, Pacific Time",701843,706723,545993,-155870
CAL,"1/19/2016, Pacific Time",722416,727875,566780,-155654
CAL,"1/20/2016, Pacific Time",714687,726029,546902,-167806
CAL,"1/21/2016, Pacific Time",709966,735013,533799,-175896
CAL,"1/22/2016, Pacific Time",714922,134034,524885,-190049
CAL,"1/23/2016, Pacific Time",656369,658401,485614,-170779
CAL,"1/24/2016, Pacific Time",642702,639915,479482,-163233
CAL,"1/25/2016, Pacific Time",715910,721248,518676,-197013
CAL,"1/26/2016, Pacific Time",720483,721575,517180,-203320
CAL,"1/27/2016, Pacific Time",724852,717295,506680,-218190
CAL,"1/28/2016, Pacific Time",724158,719629,499538,-224632
CAL,"1/29/2016, Pacific Time",714724,713452,501820,-212926
CAL,"1/30/2016, Pacific Time",658544,655931,469921,-188640
CAL,"1/31/2016, Pacific Time",663222,652409,472429,-190806
CAL,"2/1/2016, Pacific Time",732343,725654,553268,-179098
CAL,"2/2/2016, Pacific Time",749459,744868,574639,-174835
CAL,"2/3/2016, Pacific Time",738775,750388,559161,-179631
CAL,"2/4/2016, Pacific Time",722600,731950,548498,-174120
CAL,"2/5/2016, Pacific Time",711626,719281,554741,-156902
CAL,"2/6/2016, Pacific Time",652742,660052,492580,-160185
CAL,"2/7/2016, Pacific Time",629496,650726,484388,-145130
CAL,"2/8/2016, Pacific Time",702647,701713,543869,-158797
CAL,"2/9/2016, Pacific Time",719317,719253,553056,-166281
CAL,"2/10/2016, Pacific Time",718019,717184,538098,-179935
CAL,"2/11/2016, Pacific Time",717584,716771,533662,-183942
CAL,"2/12/2016, Pacific Time",705797,707080,520473,-185342
CAL,"2/13/2016, Pacific Time",641414,642514,467550,-173882
CAL,"2/14/2016, Pacific Time",621173,624962,452726,-168463
CAL,"2/15/2016, Pacific Time",688582,686602,505748,-182854
CAL,"2/16/2016, Pacific Time",729211,721109,542699,-186534
CAL,"2/17/2016, Pacific Time",716031,714069,531104,-184891
CAL,"2/18/2016, Pacific Time",705507,720364,513913,-191510
CAL,"2/19/2016, Pacific Time",699863,701933,513922,-185893
CAL,"2/20/2016, Pacific Time",642633,640959,465228,-177426
CAL,"2/21/2016, Pacific Time",620431,610824,459838,-160609
CAL,"2/22/2016, Pacific Time",700299,700645,512718,-187597
CAL,"2/23/2016, Pacific Time",707142,712173,511936,-195210
CAL,"2/24/2016, Pacific Time",710180,708935,513653,-196536
CAL,"2/25/2016, Pacific Time",709928,709166,509460,-200483
CAL,"2/26/2016, Pacific Time",700631,699037,505435,-195216
CAL,"2/27/2016, Pacific Time",652109,638143,470551,-181578
CAL,"2/28/2016, Pacific Time",644948,615700,452168,-192798
CAL,"2/29/2016, Pacific Time",727591,693836,523718,-203885
CAL,"3/1/2016, Pacific Time",726799,718842,528239,-198575
CAL,"3/2/2016, Pacific Time",724706,722814,523513,-201212
CAL,"3/3/2016, Pacific Time",728771,724234,514205,-214583
CAL,"3/4/2016, Pacific Time",725780,712665,515700,-210096
CAL,"3/5/2016, Pacific Time",678288,660284,460950,-217354
CAL,"3/6/2016, Pacific Time",652316,670074,485480,-166854
CAL,"3/7/2016, Pacific Time",728153,727266,512317,-215829
CAL,"3/8/2016, Pacific Time",727183,729496,541192,-186006
CAL,"3/9/2016, Pacific Time",732608,733917,520415,-212207
CAL,"3/10/2016, Pacific Time",740741,720688,522915,-217841
CAL,"3/11/2016, Pacific Time",736720,712858,519218,-217516
CAL,"3/12/2016, Pacific Time",680817,665209,509966,-174336
CAL,"3/13/2016, Pacific Time",632134,611164,474145,-157610
CAL,"3/14/2016, Pacific Time",716957,717018,513452,-203520
CAL,"3/15/2016, Pacific Time",726522,729580,518322,-208208
CAL,"3/16/2016, Pacific Time",739899,728108,521341,-218570
CAL,"3/17/2016, Pacific Time",740177,729424,528771,-211411
CAL,"3/18/2016, Pacific Time",731010,726814,532486,-198531
CAL,"3/19/2016, Pacific Time",669680,673405,490000,-179696
CAL,"3/20/2016, Pacific Time",646760,650215,480120,-166656
CAL,"3/21/2016, Pacific Time",721270,716673,522249,-199030
CAL,"3/22/2016, Pacific Time",716527,721137,531899,-184655
CAL,"3/23/2016, Pacific Time",727671,723249,522750,-204955
CAL,"3/24/2016, Pacific Time",718439,722969,516229,-202241
CAL,"3/25/2016, Pacific Time",705997,709075,515547,-190483
CAL,"3/26/2016, Pacific Time",659119,659845,487465,-171673
CAL,"3/27/2016, Pacific Time",617395,614496,445929,-171483
CAL,"3/28/2016, Pacific Time",695822,711334,507544,-188291
CAL,"3/29/2016, Pacific Time",697427,710577,519544,-177896
CAL,"3/30/2016, Pacific Time",693320,709089,497289,-196047
CAL,"3/31/2016, Pacific Time",688507,706049,518084,-170447
CAL,"4/1/2016, Pacific Time",695818,700608,504153,-191674
CAL,"4/2/2016, Pacific Time",661969,650038,497233,-164749
CAL,"4/3/2016, Pacific Time",641347,625228,494475,-146882
CAL,"4/4/2016, Pacific Time",721538,709260,517215,-204340
CAL,"4/5/2016, Pacific Time",739360,746848,517061,-222305
CAL,"4/6/2016, Pacific Time",760711,770433,533800,-226917
CAL,"4/7/2016, Pacific Time",745153,726102,527919,-217241
CAL,"4/8/2016, Pacific Time",726088,716357,512404,-213695
CAL,"4/9/2016, Pacific Time",668185,653266,452495,-215703
CAL,"4/10/2016, Pacific Time",643550,639515,443965,-199596
CAL,"4/11/2016, Pacific Time",707659,707389,489959,-217713
