"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/1/2020, Pacific Time",625819,618899,374530,-191411
CAL,"1/2/2020, Pacific Time",679794,669908,408868,-200410
CAL,"1/3/2020, Pacific Time",682932,665578,415512,-192328
CAL,"1/4/2020, Pacific Time",640323,614229,372910,-201262
CAL,"1/5/2020, Pacific Time",629904,610484,379816,-186667
CAL,"1/6/2020, Pacific Time",686591,690868,432236,-189228
CAL,"1/7/2020, Pacific Time",698897,694279,436602,-197009
CAL,"1/8/2020, Pacific Time",700824,689302,429189,-207247
CAL,"1/9/2020, Pacific Time",705468,692055,453269,-183330
CAL,"1/10/2020, Pacific Time",694616,675918,450415,-173999
CAL,"1/11/2020, Pacific Time",641275,629156,412579,-172488
CAL,"1/12/2020, Pacific Time",634483,613025,409517,-175026
CAL,"1/13/2020, Pacific Time",693634,688961,478995,-148106
CAL,"1/14/2020, Pacific Time",698943,691567,489142,-144879
CAL,"1/15/2020, Pacific Time",710938,698568,479620,-158458
CAL,"1/16/2020, Pacific Time",734557,713576,477159,-183721
CAL,"1/17/2020, Pacific Time",712901,693667,456058,-189357
CAL,"1/18/2020, Pacific Time",659676,648331,410340,-180626
CAL,"1/19/2020, Pacific Time",648500,627557,389272,-191641
CAL,"1/20/2020, Pacific Time",710217,689186,424259,-211945
CAL,"1/21/2020, Pacific Time",711826,703809,443944,-196029
CAL,"1/22/2020, Pacific Time",695256,693688,436826,-196525
CAL,"1/23/2020, Pacific Time",700999,689066,427897,-209025
CAL,"1/24/2020, Pacific Time",685325,673005,409121,-207145
CAL,"1/25/2020, Pacific Time",630910,626236,335216,-219260
CAL,"1/26/2020, Pacific Time",623377,601080,368320,-185509
CAL,"1/27/2020, Pacific Time",687056,676852,421264,-190999
CAL,"1/28/2020, Pacific Time",694692,690425,427133,-197262
CAL,"1/29/2020, Pacific Time",698304,690711,406017,-215087
CAL,"1/30/2020, Pacific Time",696971,685966,402540,-224367
CAL,"1/31/2020, Pacific Time",687235,673632,388326,-230951
CAL,"2/1/2020, Pacific Time",637276,619540,353364,-229661
CAL,"2/2/2020, Pacific Time",619205,604763,378453,-189091
CAL,"2/3/2020, Pacific Time",708840,688379,439443,-199865
CAL,"2/4/2020, Pacific Time",730295,695979,458738,-203760
CAL,"2/5/2020, Pacific Time",730760,720716,430491,-225532
CAL,"2/6/2020, Pacific Time",711641,712317,408623,-238728
CAL,"2/7/2020, Pacific Time",696814,694242,398611,-233593
CAL,"2/8/2020, Pacific Time",644765,622887,370917,-216600
CAL,"2/9/2020, Pacific Time",634900,617441,385918,-190258
CAL,"2/10/2020, Pacific Time",702497,681662,442448,-197078
CAL,"2/11/2020, Pacific Time",702384,687331,428562,-216277
CAL,"2/12/2020, Pacific Time",693124,695348,442578,-192942
CAL,"2/13/2020, Pacific Time",694036,690898,434361,-202478
CAL,"2/14/2020, Pacific Time",686485,673602,400311,-228717
CAL,"2/15/2020, Pacific Time",625734,619926,377582,-192649
CAL,"2/16/2020, Pacific Time",601889,596278,366547,-184679
CAL,"2/17/2020, Pacific Time",645402,647862,426469,-164595
CAL,"2/18/2020, Pacific Time",677181,670537,432213,-185116
CAL,"2/19/2020, Pacific Time",680396,675490,458128,-168283
CAL,"2/20/2020, Pacific Time",679951,680463,436497,-180572
CAL,"2/21/2020, Pacific Time",679246,674605,403214,-213284
CAL,"2/22/2020, Pacific Time",627242,619537,369292,-203201
CAL,"2/23/2020, Pacific Time",600030,588657,363333,-181442
CAL,"2/24/2020, Pacific Time",670033,664725,398649,-218532
CAL,"2/25/2020, Pacific Time",676214,674294,433278,-186678
CAL,"2/26/2020, Pacific Time",675566,669767,414119,-200915
CAL,"2/27/2020, Pacific Time",685032,679244,408236,-212418
CAL,"2/28/2020, Pacific Time",685365,673370,402306,-218527
CAL,"2/29/2020, Pacific Time",611225,619449,351494,-204902
CAL,"3/1/2020, Pacific Time",610871,609549,351209,-202162
CAL,"3/2/2020, Pacific Time",676302,651625,405419,-209474
CAL,"3/3/2020, Pacific Time",682944,674361,409271,-213286
CAL,"3/4/2020, Pacific Time",681593,674948,422831,-203069
CAL,"3/5/2020, Pacific Time",685343,680767,450539,-178923
CAL,"3/6/2020, Pacific Time",674722,669491,443255,-177981
CAL,"3/7/2020, Pacific Time",629807,633135,405411,-174858
CAL,"3/8/2020, Pacific Time",580813,524667,398506,-125254
CAL,"3/9/2020, Pacific Time",678959,627391,446726,-175434
CAL,"3/10/2020, Pacific Time",696183,647046,450180,-179715
CAL,"3/11/2020, Pacific Time",681359,675102,436475,-189872
CAL,"3/12/2020, Pacific Time",697449,676270,463999,-152231
CAL,"3/13/2020, Pacific Time",687503,668443,505316,-128930
CAL,"3/14/2020, Pacific Time",642877,631565,465927,-125968
CAL,"3/15/2020, Pacific Time",613864,609190,452368,-108892
CAL,"3/16/2020, Pacific Time",694760,695591,498135,-143031
CAL,"3/17/2020, Pacific Time",674863,681359,504039,-115217
CAL,"3/18/2020, Pacific Time",688139,689146,512537,-122466
CAL,"3/19/2020, Pacific Time",671585,669847,483916,-138200
CAL,"3/20/2020, Pacific Time",644579,656891,443399,-153334
CAL,"3/21/2020, Pacific Time",600990,590185,395064,-158328
CAL,"3/22/2020, Pacific Time",582237,571955,390899,-146535
CAL,"3/23/2020, Pacific Time",626911,651336,426359,-152928
CAL,"3/24/2020, Pacific Time",639881,663254,445305,-147475
CAL,"3/25/2020, Pacific Time",629217,640345,430304,-148967
CAL,"3/26/2020, Pacific Time",624196,631497,428436,-145662
CAL,"3/27/2020, Pacific Time",618953,615388,423867,-144939
CAL,"3/28/2020, Pacific Time",590709,576324,378212,-162313
CAL,"3/29/2020, Pacific Time",562304,548411,355446,-156077
CAL,"3/30/2020, Pacific Time",605369,615225,391240,-163399
CAL,"3/31/2020, Pacific Time",616760,626804,385195,-175007
CAL,"4/1/2020, Pacific Time",602511,612047,394109,-151328
CAL,"4/2/2020, Pacific Time",602023,601392,409017,-142112
CAL,"4/3/2020, Pacific Time",589421,587249,391954,-140340
