My prediction, official prediction, actual demand
804256.9577693939, 618899, 625818.0
791676.7120361328, 669908, 679793.0000000001
778976.7503738403, 665578, 682931.0
766200.1550197601, 614229, 640322.0
753390.9380435944, 610484, 629903.0
829890.5789852142, 690868, 686590.0
817667.156457901, 694279, 698896.0
805249.7863769531, 689302, 700822.9999999999
792678.3740520477, 692055, 705467.0
779994.5294857025, 675918, 694615.0000000001
767241.3349151611, 629156, 641274.0
754462.5699520111, 613025, 634482.0
830790.501832962, 688961, 693633.0
818592.0298099518, 691567, 698942.0
806207.6687812805, 698568, 710937.0
793677.0915985107, 713576, 734555.9999999999
781041.7532920837, 693667, 712900.0
768344.4261550903, 648331, 659675.0
755628.1924247742, 627557, 648499.0
831583.958864212, 689186, 710216.0
819440.6569004059, 703809, 711825.0000000001
807120.4543113708, 693688, 695255.0
794662.6365184784, 689066, 700998.0
782108.0386638641, 673005, 685324.0
769498.6581802368, 626236, 630909.0
756876.7249584198, 601080, 623376.0
832263.5114192963, 676852, 687055.0
820205.1341533661, 690425, 694691.0
807979.7744750977, 690711, 698303.0000000001
795626.0204315186, 685966, 696970.0
783183.5448741913, 673632, 687234.0
756977.8442382812, 619540, 637275.0
744178.5454750061, 604763, 619204.0
820917.5407886505, 688379, 708839.0
808605.3967475891, 695979, 730294.0
796115.4222488403, 720716, 730758.9999999999
783487.7550601959, 712317, 711640.0
770764.547586441, 694242, 696813.0
757989.1920089722, 622887, 644764.0
745205.157995224, 617441, 634899.0
821885.883808136, 681662, 702496.0
809585.5951309204, 687331, 702383.0
797114.4497394562, 695348, 693123.0
784513.1278038025, 690898, 694035.0
771823.3942985535, 673602, 686484.0
759088.3314609528, 619926, 625733.0
746351.021528244, 596278, 601888.0
822772.7115154266, 647862, 645401.0
810514.7302150726, 670537, 677180.0
798094.1832065582, 675490, 680395.0
785551.130771637, 680463, 679950.0
772927.0279407501, 674605, 679245.0
760264.1820907593, 619537, 627241.0
747605.0555706024, 588657, 600029.0
823568.4931278229, 664725, 670032.0
811383.3487033844, 674294, 676213.0
799044.4719791412, 669767, 675565.0
786591.225862503, 679244, 685031.0
774064.4454956055, 673370, 685364.0
761505.1984786987, 619449, 611224.0
735235.3394031525, 609549, 610870.0
812129.4617652893, 651625, 676301.0
799739.5992279053, 674361, 682943.0
787190.3479099274, 674948, 681592.0
774522.7754116058, 680767, 685342.0
761779.0341377258, 669491, 674721.0
749002.593755722, 633135, 629806.0
736236.5365028381, 524667, 580812.0
813128.1793117523, 627391, 678958.0
800745.290517807, 647046, 696182.0
788209.9866867065, 675102, 681357.9999999999
775563.257932663, 676270, 697448.0000000001
762847.2566604614, 668443, 687502.0
750105.0651073456, 631565, 642876.0
737379.2231082916, 609190, 613863.0
814068.5498714447, 695591, 694759.0
801723.7067222595, 681359, 674862.0
789234.0421676636, 689146, 688138.0
776640.0814056396, 669847, 671584.0
763983.5894107819, 656891, 644578.0
751306.95104599, 590185, 600989.0
738652.241230011, 571955, 582236.0
814939.957857132, 651336, 626910.0
802663.8448238373, 663254, 639880.0
790250.9689331055, 640345, 629216.0
777741.4679527283, 631497, 624195.0
765176.0220527649, 615388, 618952.0
752596.1637496948, 576324, 590708.0
740042.8831577301, 548411, 562303.0
815733.414888382, 615225, 605368.0
803556.0965538025, 626804, 616759.0
777919.4533824921, 612047, 602510.0
765223.6759662628, 601392, 602022.0
752469.7840213776, 587249, 589420.0
739700.7048130035, 563470, 577659.0
726959.5980644226, 567312, 581006.0
803994.4350719452, 626595, 631891.0
791534.6026420593, 624710, 625122.0
778939.4795894623, 630000, 622910.0
766250.2110004425, 626508, 638590.0
753509.4141960144, 607111, 607424.0
740759.7839832306, 545192, 549073.0
728044.1701412201, 530437, 545165.0
804990.3631210327, 603109, 584772.0
792555.0937652588, 608949, 583722.0
779991.352558136, 606067, 591269.0
767340.362071991, 597082, 589327.0
754644.0422534943, 584482, 594617.0
741944.8554515839, 541951, 564625.0
729284.6441268921, 531386, 536998.0
805943.4413909912, 608866, 595691.0
793563.961982727, 605166, 592833.0
781063.2169246674, 630599, 622560.0
768481.8863868713, 668759, 660343.0
755861.4253997803, 711059, 703853.0
743243.3664798737, 683936, 684765.9999999999
730668.5447692871, 641130, 633791.0
806842.8993225098, 697768, 674770.0000000001
794549.5843887329, 723238, 721439.0
782142.8298950195, 694166, 706599.0
769662.2312068939, 697511, 685306.0
743294.4297790527, 671039, 650618.0
730548.0539798737, 601749, 616929.0
717847.7823734283, 586278, 585667.0
794920.8199977875, 662557, 662875.0000000001
782398.8437652588, 694330, 709444.0
769760.0185871124, 721175, 740128.0
757046.0319519043, 771968, 765015.0
744299.4236946106, 774252, 762873.0
731562.7336502075, 711474, 688239.0
718878.1917095184, 646420, 629860.0
795946.6576576233, 659865, 667610.0
783439.8686885834, 617848, 655280.9999999999
770822.8945732117, 635419, 651118.0
758137.1903419495, 649025, 652874.0
745424.7534275055, 652737, 660461.0
732727.9686927795, 636647, 643111.0
720088.2136821747, 624580, 620204.0
796955.2159309387, 654087, 644671.0
784495.1510429382, 632638, 630394.0
771931.5648078918, 628851, 636333.0
759305.4473400116, 656226, 673115.0
746658.2536697388, 655287, 661075.0
734031.5163135529, 619144, 610528.0
721465.7604694366, 646787, 620793.0
797934.4844818115, 737752, 720259.0000000001
785552.0606040955, 851399, 848276.0
773072.9341506958, 871582, 876211.0
760537.3978614807, 876428, 839246.0
747985.8994483948, 780411, 762293.0000000001
735458.8866233826, 665018, 669018.0
722995.9547519684, 644059, 643833.0
785640.0072574615, 743741, 739633.0
773069.6797370911, 835461, 809399.9999999999
760400.402545929, 890094, 901043.0
747674.2506027222, 868712, 864900.0
734933.6087703705, 768134, 728021.0
722220.9393978119, 649424, 637532.0
709577.6200294495, 599938, 598052.0
786676.0730743408, 690497, 689335.0
774106.9853305817, 772992, 792024.0
761445.5342292786, 829692, 873843.0
748733.4847450256, 849175, 867203.0
736012.9117965698, 756782, 754468.0
723325.7353305817, 655885, 664533.0
710713.1779193878, 645592, 660475.0
787723.0644226074, 745531, 751853.0
775186.9082450867, 731838, 731311.0
762564.6650791168, 761957, 744566.0
749897.7899551392, 793382, 775755.0
737227.5829315186, 777457, 783356.0
724595.5765247345, 730039, 732497.0
712041.985988617, 742546, 729995.0
788768.0411338806, 838679, 833019.0000000001
776296.1208820343, 848512, 856866.0
763744.3900108337, 855669, 860944.0
751153.3737182617, 861149, 855978.0
738563.8296604156, 849467, 859645.0
726016.1280632019, 769809, 797426.0000000001
713549.7093200684, 686950, 679422.0
789798.3729839325, 741986, 737335.0
777421.1406707764, 755227, 786052.0
751174.1399765015, 778139, 787029.0
738449.6927261353, 786047, 778041.0
725729.9721240997, 726789, 761164.0000000001
713056.743144989, 763659, 771064.0
700470.8409309387, 795636, 794487.0000000001
777495.139837265, 861580, 856483.0
764880.0253868103, 847980, 848716.0
752191.686630249, 852170, 853666.0000000001
739471.8885421753, 877347, 873446.0
726762.7835273743, 906950, 917564.0
